,Feci_Vecpac-WT_3297REP_01032024,Feci_Vecpac-WT_3302_29022024,Feci_Vecpac-WT_3307_29022024,Feci_Vecpac-WT_3319_29022024,Feci_Vecpac-WT_3329_29022024,Feci_Vecpac-WT_3337_29022024,Feci_Vecpac-WT_3353_29022024,Feci_Vecpac-WT_3354_29022024,Feci_Vecpac-WT_3369_29022024,Feci_Vecpac-WT_3673_28022024,Feci_Vecpac-WT_3674_28022024,Feci_Vecpac-WT_3675_28022024,Feci_Vecpac-WT_3677_28022024,Feci_Vecpac-WT_3678_28022024,Feci_Vecpac-WT_3679_29022024,Feci_Vecpac-WT_3680_29022024,Feci_Vecpac-WT_3681_29022024,Feci_Vecpac-WT_3687_29022024,Feci_Vecpac-WT_3688_29022024
alpha-D-(+)-Talopyranose,-0.280611157,-0.508031823,-0.418498513,-0.567861416, 2.480995915, 0.169594085,-0.245859046, 1.181972088, 1.098065041, 0.935661945, 0.045990461,-0.118949674,-0.243860831,-0.029775079, 0.520903483, 0.886996117,-0.938570198,-0.494840655,-0.754640163
"alpha-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-hydroxy-, cyclic methylboronate",-0.3169763196,-0.3170736249,-0.3042753993,-0.3169627820,-0.0460005244,-0.3170870629,-0.0074766801,-0.3171545265,-0.3167993007,-0.3169073312,-0.3168200036,-0.3166142368,-0.0511600392,-0.0453507630,-0.3170643177,-0.0759038481,-0.3144144381,-0.0993724891,-0.1807367066
alpha-D-Mannopyranose,-0.208589536,-0.208610459,-0.208569990,-0.208586625,-0.208579502,-0.208613348,-0.208575125,-0.208627854,-0.208551473,-0.208574702,-0.208555924,-0.208511680,-0.208564821,-0.208581191,-0.208608457, 9.724506452,-0.208604300,-0.208593946,-0.208602592
alpha-D-Xylopyranose,-0.2281941358,-0.2269660056,-0.2281676895,-0.2281901973,-0.2281805605, 9.2082255016,-0.2281746379,-0.2282459815,-0.1382659875,-0.2281740650,-0.2260061596,-0.2265767155,-0.2281606965,-0.2281828452,-0.1026346225,-0.1475606499,-0.2282141128,-0.2282001032,-0.2282118011
alpha-Ketoisovaleric acid, 1.124698522,-0.638364038,-0.637967696,-0.157632537, 0.031673431,-0.073281069,-0.638017991, 0.679475751,-0.637786346, 0.099265969,-0.637829944,-0.579682103,-0.488979995,-0.021334798,-0.181720599, 0.186869537,-0.638303727,-0.482125417, 0.043567096
alpha-L-(-)-Fucopyranose,-0.43715779, 0.73880195,-0.46996270,-0.47013944,-0.47006377, 0.24689192,-0.47001726,-0.47057749,-0.46976597,-0.47001276,-0.46981326,-0.46934318,-0.46990779, 0.62249120, 0.09499410,-0.47026694,-0.29694067,-0.29560982, 0.27672872
"alpha-L-Galactofuranose, 6-deoxy-",-0.50064497,-0.50442883,-0.49711008,-0.35523508,-0.49883046,-0.50495139,-0.49803882,-0.50757482,-0.49376131,-0.49796225,-0.49456638,-0.48656482,-0.49617537,-0.49913583,-0.50406691,-0.50228876,-0.50331515,-0.50144258,-0.50300617
alpha-Linolenic acid,-0.651747304,-0.196305000, 1.628462394,-0.241687640, 1.049996244,-0.654185633, 1.412035478,-0.655671036,-0.647849726,-0.650228327, 1.006345335,-0.643775016,-0.649216583, 0.122226410, 0.141387587,-0.652678032,-0.653259179,-0.652198918, 0.159402802
alpha-Tocopheryl acetate,-0.488088303, 0.355278324,-0.487832521, 2.374384979,-0.487957007,-0.488399913,-0.487899724, 0.963253883,-0.060642150, 1.149713884,-0.487648461,-0.487069474, 1.456036157,-0.487979104,-0.488335913, 0.334104512,-0.488281516, 1.353189698, 0.449067416
Anthranilic acid, 0.661295905,-0.227469279,-0.102601326,-0.314941941,-0.035386463,-0.305707136,-0.320207233, 0.520218962,-0.009697584,-0.226294079,-0.082985689, 0.401798783,-0.054972320,-0.169469439,-0.391465010,-0.069864288,-0.246246374,-0.189408654,-0.129946867
Arabinitol,-0.3636100039,-0.3636754378,-0.3635488754,-0.3636009004,-0.3635786258,-0.3636844744,-0.3635649361,-0.3637298409,-0.3634909656,-0.3635636119,-0.3635048875,-0.3633665174,-0.3635327116,-0.3635839066,-0.3636691791,-0.3636384298,-0.3636561790,-0.3636237969,-0.3636508358
"Arabinofuranose, 1,2,3,5-tetrakis", 4.6995383027,-0.4980868763, 0.0005182873,-0.5743911407, 0.7972701883, 0.1379497991, 1.0506652428, 0.4308862430,-0.1332162473,-0.7365146197, 0.0122655784,-0.0773896805,-0.4002261548,-0.0492730498,-0.9597101255, 0.6184725746, 0.4222618836,-0.2398682234,-1.1430886967
"Arabino-Hexonic acid, 2-deoxy-, gamma-lactone",-0.467940394,-0.467970557,-0.467912216,-0.467936198, 0.221821005,-0.467974723, 1.456012586, 2.906655917,-0.059750878,-0.357844265,-0.467891939,-0.165977209,-0.297672366,-0.370185323,-0.356324837, 0.165918526,-0.439408599,-0.385812747,-0.445686601
Arabinose,-0.432244920,-0.433256473,-0.431299926,-0.432104188,-0.431759841,-0.433396170, 0.222469895,-0.434097499,-0.430404690, 0.084385311,-0.430619910, 0.602527411,-0.431050047, 4.824023191,-0.280705633,-0.432684361, 0.011810546, 0.161340518,-0.432876147
Arachidic acid, 0.814610880,-0.344419815,-0.175675389,-0.189927635,-0.139127285,-0.309714679,-0.217943913, 0.238953812, 0.233522718,-0.135155931, 0.068899135, 0.595241044, 0.121262557,-0.239861274,-0.184090243,-0.064607519,-0.320505098,-0.148948952,-0.126515770
Azelaic acid,-0.378496622,-0.357368957, 0.022147367, 0.947776909,-0.173628636,-0.378616388,-0.378424142,-0.378689348, 0.086177175,-0.378422012,-0.378327569,-0.378105037,-0.157303061, 1.786116860,-0.378591789,-0.328271132,-0.378570882,-0.378518804,-0.295749205
"Azetidine, 1-acetyl-2-methyl", 0.580342261,-0.410769755,-0.269067934,-0.313052278, 0.545537679, 0.316837528,-0.048672467, 0.100296957,-0.261994763,-0.210420915,-0.124427315, 0.016673065,-0.244043286,-0.052595476, 0.042761356, 0.202122885,-0.263196976,-0.340087859, 0.113333466
Behenic acid,-0.20716648,-0.20869263,-0.20574076,-0.20695416,-0.20643464,-0.20890339,-0.20611535,-0.20996149,-0.20439010,-0.20608446,-0.20471481,-0.20148755,-0.20536376,-0.20655781,-0.20854665,-0.20782947,-0.20824344,-0.20748818,-0.20811882
"Benzaldehyde, 2,5-dimethoxy", 1.360578219,-0.390101819,-0.126056364,-0.411304520,-0.224708140,-0.345275151,-0.401907631, 1.027944113,-0.117938062,-0.120476306, 0.112494730, 0.357404240,-0.181697633,-0.295509529,-0.389960753, 0.045419828,-0.247117916,-0.006341711,-0.186948645
Benzeneacetic acid,-0.210479928,-0.212663322,-0.208440199,-0.210176163,-0.209432906,-0.212964852,-0.208976110,-0.214478640,-0.206507872,-0.208931925,-0.206972415,-0.202355297,-0.207900847,-0.209609116,-0.212454481,-0.211428443,-0.212020695,-0.210940173,-0.211842405
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester",-1.65584890,-0.47448850,-0.37989740, 0.00201236, 0.43092532,-0.52303534,-0.82838512, 1.28730527, 0.59604356, 0.08065149,-1.13026611, 0.88701558, 0.09270525, 0.21120203,-0.83256769,-0.79285944,-0.82731643,-0.03940387, 0.07661940
Benzoic Acid, 1.531144893,-0.257034708, 0.287978901,-0.199637232, 0.008345065,-0.723453105,-0.764158096, 0.928732717, 0.186895143,-0.315305713,-0.709570197, 0.290871897, 0.053687739,-0.400910894,-0.803094506, 0.109093891,-0.753792007,-0.116038251,-0.352920700
beta-Alanine,-1.060873437, 1.333849194,-0.349059825, 0.828713573,-0.514805099,-0.061219818, 0.676608353,-0.599162355,-0.577481664,-0.078657827, 0.003957446, 0.069679357, 0.772142463,-1.058775058,-0.810783052,-0.638495270,-0.420175909,-0.301745061, 0.949073586
beta-Arabinopyranose, 1.335828801, 0.197562034, 1.018228066,-0.937613610,-0.382890892, 0.624733557,-0.937244420,-0.938937244, 0.237288741,-0.365574368, 0.469325513, 0.103244277, 0.368401984,-0.503735369,-0.660736858, 0.189952408, 0.231027786, 0.461232459, 3.808725464
beta-D-(-)-Ribopyranose, 2.25335668,-0.25468961, 1.97915055, 0.50023000, 1.04699634, 0.67693995, 1.82425348, 2.18514449, 1.19356635, 2.94067280, 0.79156172, 0.61730465,-0.01486729,-0.62087851,-0.14668465, 0.85601515, 0.93339778, 0.03994147, 0.08686303
"beta-D-Galactopyranoside, methyl-, acetate",-0.54056345,-0.54129952,-0.53987580,-0.54046104,-0.54021047,-0.54140118,-0.54005647,-0.54191151,-0.53922437,-0.54004158,-0.53938098,-0.53782443,-0.53969397,-0.54026987,-0.54122912,-0.54088321,-0.54108288,-0.54071861,-0.54102277
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy", 1.188356595,-0.499094219, 0.296213270, 0.674979210, 0.448031952,-0.362561318, 0.950914349, 0.334927594, 0.657793570,-0.527908218,-0.457550091, 0.861817981,-0.299715565,-0.698307109,-0.652681790, 1.824294426,-0.056275752,-0.259721342,-0.618163011
Butanedioic acid, 0.67244822,-0.05838879, 1.21572357,-0.77577028, 2.08566394,-0.08257186,-0.44629155,-0.28428272, 0.15213007, 0.02609632, 0.58881929, 1.86951151, 1.02060017,-0.63268878,-0.13101745, 1.34395664, 0.50774361, 0.81882066, 0.03763242
"Butanoic acid, 3,4-dihydroxy-",-0.36014194,-0.35940430,-0.35979209,-0.36028514,-0.36040926,-0.36041593,-0.36040839,-0.36041879,-0.09189170,-0.36040831,-0.09142485,-0.12860521,-0.11663834, 0.54059311, 0.79727499, 0.94821983,-0.36041415, 0.85707614,-0.36041381
Butyl Succinate,-1.12021144,-0.12597039, 0.74439579,-0.20223383,-0.75720156, 0.22063020,-0.79352158, 1.70935452, 0.19396242, 0.10552118, 0.75040240, 0.85290804,-1.21422371,-0.41178193,-0.62725134, 0.19397025, 0.51759921,-1.49257378,-0.16997924
Cadaverine,-0.25692723,-0.26237197,-0.25184074,-0.25616973,-0.25431626,-0.26312390,-0.25317714,-0.26689885,-0.24702208,-0.25306696,-0.24818051,-0.23666677,-0.25049575,-0.25475568,-0.26185118,-0.25929254,-0.26076945,-0.25807494,-0.26032485
Caffeic acid, 1.420600048,-0.240854970,-0.235677495,-0.237805757,-0.236894537,-0.241224642,-0.236334512,-0.243080520,-0.233308495,-0.236280343,-0.233878017,-0.228217509,-0.235016259,-0.237110567,-0.240598935,-0.239341030, 5.709908781,-0.238742419,-0.066772197
Campesterol, 0.06813804,-0.72346773, 0.68009154,-0.72327421,-0.72321637,-0.72349119,-0.72318083, 1.33117043,-0.69376596,-0.72317739,-0.72302493,-0.72266568, 0.57755478,-0.72323008,-0.72345148,-0.72337164,-0.72341772,-0.09773157, 1.66423272
Cholesterol,-0.02530428,-0.26585793,-0.94119033, 1.44477803,-0.47019160,-0.40863010, 0.30269230,-0.41349500,-0.54269435,-0.60079872,-0.62914854,-0.43501452,-0.61626955,-0.46623862,-0.66784188, 0.21848620,-0.58420489,-0.65689143,-0.60575398
Cinnamic acid,-0.54391784, 2.29894935,-0.53962794, 2.72427191,-0.54171577,-0.54914406, 2.64040074,-0.55232781,-0.53556392,-0.54066212,-0.53654094,-0.52683034, 0.15799522,-0.54208637,-0.54807066,-0.54591272,-0.54715833,-0.54488581,-0.54678336
"cis,cis,cis-1-Isobutyl-2,5-dimethylcyclohexane",-0.663596310,-0.257532022,-0.662257758,-0.215310428,-0.137061293, 2.642251297, 3.094730819,-0.666220427,-0.660989686,-0.662580448,-0.661294538,-0.658264598,-0.661903813,-0.221388380,-0.664892092,-0.664218764,-0.664607424,-0.265207651,-0.664490423
"cis-4,5-Dihydroxy-o-dithiane",-0.777985220,-0.965719555, 4.641167310, 4.823052693,-0.986723157, 3.040005530,-0.906530920,-1.135372834,-0.980976522,-0.957800837,-0.943967242,-0.921915465,-0.947293311,-0.952181297,-0.961191372,-0.998379179,-0.991793332,-0.955667104,-0.948254739
Citric acid, 3.820798551,-0.955048288,-0.372148725,-0.493515975, 5.611422618,-0.293101553,-0.518040924, 0.333779637,-0.596226928, 0.067752629, 0.325443551,-0.010368706,-0.954806242,-0.249932827, 0.194729181, 0.017071646, 0.223107632,-0.139576993, 0.357283298
Cyclo(L-prolyl-L-valine), 2.413994087,-1.265657475,-0.217760416,-1.264573196, 0.322751998, 0.156809802, 0.519880991, 1.843185724,-1.262974001, 0.195076418, 0.578446258, 1.482896304,-0.442138449,-1.004168762, 0.112448481,-1.265119129,-1.239644966,-1.264906267, 0.003934653
Cyclohexanecarboxylic acid, 4.26630274, 1.49918100,-0.27522471,-0.29752398,-0.35337927,-0.31273135, 1.68213887, 4.03525180,-0.35187304,-0.35312129,-0.35211225,-0.34973470,-0.35259034,-0.35347000,-0.35493521,-0.28674176,-0.32267496,-0.35415542,-0.30595887
Cyclohexanemethanol, 0.893401793,-0.220850669,-0.412425353,-0.793179328, 0.851271908,-0.782629559, 0.182432569, 0.926378467, 0.747422061,-0.102925492,-0.471465839, 0.038058954,-0.277958302,-0.089728855,-0.987398617, 1.044712195,-0.320199207,-0.579069093,-0.499042305
Cyclohexanol,-1.25149145,-0.15210548, 0.80587371,-0.81896900, 0.30148832,-0.04391253,-0.74929090, 1.25841343, 0.13952971,-0.41727490,-1.24231089, 1.44552586, 0.19040813, 0.47751648, 0.17034458, 1.05469726,-0.37733746,-0.88285521,-0.18127046
"Cyclopenta[g]-2-benzopyran, 1,3,4,6,7,8-hexahydro-4,6,6,7,8,8-hexamethyl", 0.397380650,-0.308501325,-0.227372408,-0.100254738,-0.655254633,-0.089211183,-0.372557289, 0.247116907,-0.194286448,-0.367592219,-0.170494406,-0.239470534,-0.180165064,-0.157587378,-0.285655819,-0.343381499,-0.401159181,-0.461657404,-0.409683807
"Cyclopentanone, 2,4,4-trimethyl",-0.218908497,-0.220587889,-0.217339606,-0.218674851,-0.218103163,-0.220819816,10.220717053,-0.221984170,-0.215853325,-0.217717825,-0.216210636,-0.212659305,-0.216924755,-0.218238697,-0.220427256,-0.219638062,-0.220093602,-0.219262501,-0.219956468
Cytosine,-0.61260268,-0.04596720,-0.90088057, 1.68325208,-0.15775297, 1.11947467, 3.47199795,-0.90899714,-0.07083296,-0.15146613,-0.77119955, 0.18315135,-0.58971619,-0.16648466,-0.35543596,-0.90489722,-0.12798076,-0.75468251,-0.68629700
D-(-)-Citramalic acid,-0.187527625,-0.188700270,-0.186432139,-0.187364481,-0.186965296,-0.188862214,-0.186719963,-0.189675231,-0.185394335,-0.186696232,-0.185643830,-0.183164093,-0.186142467,-0.187059934,-0.188588107,-0.188037048,-0.188355131, 9.114985888,-0.188259376
D-(-)-Fructofuranose,-1.06487371, 0.54703527, 2.17324951, 0.68187498, 2.22592512, 1.10849163, 0.29457259, 2.99604903,-0.65896525, 0.18215305, 1.11808077,-1.08722267,-0.07196797,-0.65899987,-0.18288079, 0.20062299,-0.25924626,-0.03302189, 0.62420081
D-(-)-Fructopyranose, 0.011794665,-0.385275338,-0.806945925,-0.776045709,-0.007741639,-0.312743256,-0.807139528, 0.629917275,-0.626095640,-0.069403109,-0.051368893,-0.006914049, 0.322796468, 0.265996869, 1.600065498,-0.574092700, 0.158611491,-0.281612790,-0.217257511
D-(-)-Ribofuranose, 1.118446857,-0.201783810, 0.094492458,-1.083029694, 1.425546275,-0.098881713,-0.816425222, 1.587197926, 0.462057797,-0.077969881, 1.841982941, 0.641553586,-0.878928111,-0.709388916,-0.832555352, 0.983839430, 0.709081075, 0.742766235, 0.182378164
D-(+)-Galactopyranose,-0.29643893,-0.29653736,-0.29634698,-0.29642524,-0.29639173,-0.29655095,-0.29637114,-0.29661919,-0.29625987,-0.29636915,-0.29628081,-0.29607267,-0.29632266,-0.29639967,-0.29652794,-0.29648169,-0.29650839,-0.29645968,-0.29650035
D-(+)-Glucosamine, 3.987689173, 6.507927586, 0.675426502, 0.127717156,-0.220386688,-0.212007541, 0.456465463,-0.783138190,-0.544671170,-0.190526137,-0.135341367,-0.343322536, 0.066057648, 0.086937586,-0.298154665, 0.085025916, 0.108444297, 0.099237583,-0.123692319
"D-(+)-Ribono-1,4-lactone ",-0.432898537,-0.412515705, 1.440144536,-0.432784452,-0.432505308,-0.433831797,-0.432333750,-0.434400328,-0.431406756,-0.432317155,-0.047048973,-0.256319427, 0.354545011, 0.306712554, 0.837739815, 0.949740007, 0.700495801, 0.369358789,-0.433410241
D-(+)-Talofuranose,-0.60713471, 1.25649177, 0.89365832,-0.64382794, 1.09691510,-0.02801344,-0.16963123,-0.72759533, 0.16250883, 1.20737339, 0.10126038,-0.68611643, 0.23155258, 0.05867841, 0.26079822,-0.30454606, 1.71356023, 0.79650792, 0.34495422
D-Allofuranose, 0.10915423, 0.14073855,-0.23963901,-0.08491451,-0.12825727,-0.29280280,-0.64257987,-0.10930861, 0.08556500,-0.66941864,-0.70742006, 0.01317127,-0.68345651,-0.71112430,-0.71970241, 1.09463094,-0.69809525,-0.70773245,-0.12033382
D-Arabinose,-0.401100259,-0.515831572,-0.452860154,-0.514605094,-0.514238576,-0.515980264, 5.708969132,-0.516726750,-0.512796171,-0.513991530,-0.513025249,-0.510748436,-0.513483081,-0.514325470,-0.515728588,-0.515222623,-0.515514677,-0.514981846,-0.515426758
Decanoic acid, 0.713918430,-0.342430331,-0.153211152,-0.292239605,-0.321619805,-0.237538076,-0.204675138, 0.202696233,-0.245207353,-0.351866914,-0.268431988, 0.081269896,-0.148235548,-0.303298622,-0.312584672,-0.126327955,-0.284995249,-0.312580893,-0.206465502
Decyl oleate,-0.4271116676,-0.3794984764,-0.1023529534,-0.1002081932, 0.3452797641, 0.0151423682, 0.5401237497,-0.2360196492, 0.0199442391, 0.6258849079, 0.4867080874,-0.0879754726,-0.1002115013,-0.2967874029,-0.2853817221,-0.4271316235,-0.3609405716, 0.2013736311,-0.4237173581
Dehydroabietic acid, 1.86847395,-0.30244555, 0.90278664,-0.16144056,-1.30328508,-1.31610723,-0.44717846, 0.38837124,-0.05270867,-0.63024370,-0.14136111, 0.19444753,-0.27246926,-0.74245887, 1.50183991, 1.16427171,-0.28538067,-0.46555054,-0.55372769
Deoxycholic Acid, 6.2015498440,-0.3925014141,-0.3924207541,-0.1058905447,-0.3924397145, 0.0617379070, 0.4878474040,-0.3082769324, 1.1778768664, 0.3059271343,-0.1142154169, 0.5613368835,-0.3924104527,-0.3924430800,-0.3914031962,-0.0231270202, 0.5761006295,-0.2638436968,-0.2035828758
Deoxyribopyranose,-0.52185452, 0.60235581, 0.86026715, 0.22024046, 1.50682424, 0.15633947, 0.58251082, 1.43621071, 1.18342016,-0.55808493,-0.55483202,-0.55782140,-0.55804362,-0.55811207, 2.07796686, 2.67400717, 2.44590970, 1.44257901, 2.34174365
"D-Erythro-Pentitol, 2-deoxy-", 2.718912978,-0.889948215,-0.479752980,-0.250925032,-0.151669553,-0.714218226,-0.362185316,-0.576781199,-0.698339522,-0.768360619,-0.016431081, 0.061429911,-0.878664641, 1.675017923,-0.889918857, 6.556701501, 0.505043309, 1.130229874,-0.632101978
"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-posphate", 1.59237868, 0.26399977, 0.03989538, 0.23964924, 1.86971659, 0.01916040,-0.12579026, 1.96662182,-0.14083354, 2.47837461, 0.12974276, 3.39515841, 0.32955061, 0.43809769,-0.03960574, 0.07130959,-0.03055666, 2.09844991, 0.17724892
d-Erythrotetrofuranose,-0.474775176,-0.646873452,-0.478508084,-0.242244367, 1.326265489,-0.634901067,-0.526018540, 3.180167840, 1.018323738,-0.413050443, 0.651807527,-0.489466452,-0.656786804, 0.334157029,-0.480790350, 2.370522406, 0.963601261,-0.622309524,-0.013145432
Desmethylverapamil,-0.26978980,-0.27039197,-0.21774246,-0.26970602,-0.26950103,-0.07454078,-0.26937505, 0.06771844, 0.15720716,-0.26936286,-0.26882244,-0.16163483,-0.26907850,-0.26954963,-0.27033437,-0.01398842,-0.27021473,-0.10265912,-0.09076807
D-Fructose, 4.406175447,-0.656542276,-0.482617781,-0.661420010,-0.660580000,-0.661430668, 1.587413181,-0.652377487,-0.637884329,-0.661415255, 2.862513752,-0.661390122,-0.653714887,-0.661417843,-0.247982358,-0.661424796,-0.661427059,-0.661422930,-0.661198076
D-Fucitol,-0.760152856,-0.461577408, 0.068430072,-0.760025534,-0.759714001,-0.761194403,-0.759522536, 1.452464195, 3.788439463,-0.759504016,-0.004596662, 0.263474321,-0.416256213, 0.614889879, 1.864942851, 1.045568897,-0.679742827, 0.681208157, 0.888115717
D-Glucose, 1.544223628,-0.894692660, 0.943562755, 0.007143951, 0.251568604, 0.930700464,-0.077344964, 1.810100049, 0.702021836, 0.325629127,-0.109081381,-0.144446169, 0.212507211, 0.226474239, 0.084191353,-0.132615801, 0.085348511, 0.285619044,-0.396989754
Dihydrouracil, 0.89436110,-0.02774782, 2.12410446, 1.38076788,-0.71795670, 0.61123928,-0.57354952,-0.98955256,-0.91404986, 1.59461504, 1.36345447, 0.26559763, 1.83253283,-0.88738554, 0.28757145,-0.85298434, 0.88212231, 1.11949820, 0.87957096
Dihydroxyacetone, 0.62900444, 0.76540157, 1.10436211, 0.08411387, 1.10695490, 1.07414603,-0.89764799,-1.28894057,-0.80701806, 0.01967052, 1.80172908,-1.26331544, 1.39848107, 0.98441188, 0.91604835, 1.58181870, 1.71458411, 0.45156340, 0.38122520
"Dimethyl hexopyranosiduronate, alpha-D",-0.303961563,-0.304003921, 4.168094407,-0.303955669,-0.303941250,-0.304009771,-0.303932388,-0.304039139,-0.303884504,-0.303931531,-0.303893516, 0.918900014,-0.303911528,-0.303944669,-0.303999869, 0.665804926, 0.469028216,-0.303970491,-0.303987995
DL-Phenylalanine, 1.22034502, 3.80088396, 0.85585355, 0.66159495, 2.76191378,-0.37808600, 0.57266524,-0.01832633,-0.41929568,-0.71517147,-0.49919277,-0.45427474,-0.87097156,-0.66404569, 0.41315138,-0.18059249,-0.20643647,-0.59854588,-0.14146063
D-Mannopyranose, 2.317879113, 0.563856218, 1.523079586, 0.123745969,-0.581222202, 0.428265932, 0.374157742,-0.989487190,-0.746056428, 1.752954280, 1.916193177,-0.376586143, 2.753150203, 0.671440316, 2.109646532,-0.989176181, 1.447463155, 1.778246485, 1.334029384
D-Mannose,-0.986001364,-0.174555067, 1.378144827, 0.391935040,-0.057837926,-0.986843608, 0.004054959, 0.361057029,-0.096313869,-0.985476681, 0.220720489, 0.294613070, 0.231645305, 0.100466416, 0.346290172, 0.112842586, 0.415430195, 0.594404958,-0.986463164
Dodecanamide, 0.36243501, 0.49765244, 1.20300316, 0.07463949,-0.79218342, 2.31808501,-0.79131928,-0.80172865,-0.78665001, 0.48662645,-0.78752881, 0.93971988, 1.08335477,-0.66260686, 0.47277911,-0.79595846, 4.01661625, 1.68821107, 0.41308253
"Dodecanoic acid, isooctyl ester",-0.2241939885,-0.2256741035,-0.2228112631,-0.2239880671,-0.2234842159,-0.2258785100,-0.2231745552,-0.2269047017,-0.2215013447,-0.2231446024,-0.2218162573,-0.2186863281,-0.2224456382,-0.2236036680,-0.2255325310,-0.2248369830,-0.2252384688,-0.2245059865,-0.2251176069
Dodecanoic acid, 0.3288615180,-0.0935637337, 0.0529029694,-0.0628353345,-0.0228746842,-0.0837388011,-0.0754515598, 0.1247993950, 0.0212605234,-0.0921217197,-0.0033753505,-0.1622189853,-0.0046714253,-0.0955266252,-0.0607801345, 0.0076715016,-0.3743783797,-0.3743295524,-0.0043563057
D-Psicofuranose, 0.317318447,-0.579087956, 0.653456817,-0.577017968, 0.011433469,-0.069255369,-0.578811424,-0.449321878, 0.015742174, 0.523706065, 0.086814420,-0.055940472, 0.203898242, 0.247790539,-0.580607172, 0.509279483,-0.567038457, 0.414769731,-0.016614605
D-Ribofuranose,-0.34262156,-0.34428928,-0.34106357,-0.34238953,-0.34182182,-0.30231916,-0.34147291,-0.34567585,-0.33958762,-0.34143916,-0.33994245,-0.33641580,-0.34065160, 3.45908972, 4.49593044,-0.34334605,-0.34379842,-0.34297310,-0.34366224
D-Ribose,-0.4105418469,-0.5363118787,-0.5356100096,-0.5358985211,-0.5357749942,-0.5363619921,-0.5356990762,-0.5366135787,-0.5352888630,-0.5356917328,-0.5353660687,-0.5345987186,-0.5355203710,-0.5358042797,-0.5362771700,-0.5361066458,-0.5362050762, 0.0966962012,-0.5361754450
D-Xylopyranose,-0.342459872,-0.342868581,-0.249483381,-0.342403010,-0.342263880,-0.342925024,-0.342178373,-0.224548824,-0.341716344,-0.342170102,-0.341803302,-0.340939025,-0.341977095, 1.089814666, 1.166332352,-0.342637424, 0.788331764, 0.377656439,-0.342714913
D-Xylose,-0.71476980,-0.63109000,-0.64446342,-0.92553455, 1.22033933,-0.21926607,-0.45202431, 2.44989807,-1.57155119,-1.56222302,-0.56359057,-0.71488238,-1.56197919, 0.24132001,-1.46724558, 1.32910174, 0.05145123,-0.60629150,-0.68894757
"Erythrono-1,4-lactone", 1.952461340, 1.035219985, 0.260800154,-1.030063923, 0.289756035, 0.051212266,-0.103527586, 3.974671957, 1.345687600, 0.778310673, 1.391479319, 0.483739977, 0.038850478,-0.588580000,-0.083688837, 0.845262984, 0.577175116, 0.173850909,-0.079465682
Ethanolamine,-0.09753761,-0.09737131,-0.05763432,-0.33840556,-0.13171297,-0.22801489, 0.11757776, 0.07044148, 0.09367279,-0.92674834,-0.76907174,-0.40585175, 0.25836300, 1.30056872, 0.12815964,-0.39510191,-0.68119591,-0.87039307,-0.82742821
Ethyl alpha-D-glucopyranoside,-0.209115691,-0.400602333,-0.399140785,-0.395182531,-0.166097799, 1.651721554,-0.403316355,-0.184300604, 3.486296403,-0.392088862,-0.403213299,-0.380439392, 3.682209741,-0.392557539,-0.383454551,-0.403442486,-0.194860449,-0.358984968,-0.398371571
Ethyl glycolate, 3.17475193,-0.46864440,-0.14175641, 0.17025729,-0.63611876, 0.10830706,-0.54309588, 1.34848557, 0.06803127,-0.41119474,-0.43032036, 0.61704665,-0.22219685,-1.18804329,-1.19089800, 0.73207580,-0.42980386,-0.65243053,-0.37743776
Ferulic acid, 0.151560459, 0.186815400,-0.549308383,-0.479643905, 1.214632129,-0.138484005, 0.373534130, 3.545740879, 2.016438173, 0.236470922, 0.035550909,-0.287368192,-0.404148410, 0.874154665,-0.640757485, 0.519416261, 0.283757057,-0.713584067,-1.743028676
"Gluconolactone (3R,4S,5R,6R)",-1.043944380, 0.624469254, 0.956575336, 0.428074564,-1.042760997, 0.853622527, 1.024163077, 1.567394733, 0.443202655,-1.042194769, 1.158338086,-0.924351683, 0.508188329, 0.659404735, 0.811400968, 0.925918025, 0.685704871, 0.673675058,-0.199056207
Glucopyranose, 1.168471343,-0.567041635, 0.787938582,-1.124586920, 0.012364380, 0.562650775, 0.035699177, 1.134988228, 0.035061775, 0.256343013,-0.004706343,-0.033020326, 0.050790628, 0.223845291, 0.144095053,-0.008140386, 0.143842421, 0.287838359,-0.200980117
Glyceric acid, 0.94157544, 1.00895626,-0.12379752,-0.68793573, 0.68834237,-1.13210675,-0.65508286, 1.90141902, 0.92506438, 0.63330702, 1.09250384, 1.87267008,-0.08348858, 0.33552638,-0.39905831, 0.30377781, 1.68944611, 0.68177251,-0.57113715
Glycerol monostearate,-0.19825439,-0.20012028,-0.19651126,-0.19799479,-0.19735962,-0.20037797,-0.19696924,-0.20167163,-0.19485992,-0.19693149,-0.19525692,-0.19131119,-0.19605034,-0.19751020,-0.19994181,-0.19906497,-0.19957110,-0.19864771,-0.19941874
