,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,pls_116_12012022,pls_118_a_12012022,pls_119_13012022,pls_89_14012022,pls_120_13012022,pls_88_13012022,pls_129_12012022,pls_127_a_12012022,pls_70_a_12012022,pls_97_13012022,pls_123_13012022,pls_96a_14012022,pls_128_rep_14012022,pls_126_14012022,pls_124_14012022,pls_125_13012022,LPS934_150124,LPS935_150124,LPS936_150124,LPS939_150124,LPS940_150124,LPS941_150124,LPS942_150124,LPS944_160124,LPS945_160124,LPS946_160124,LPS947_160124,LPS948_160124,LPS949_160124,LPS950_160124,LPS951_160124,LPS952_160124,LPS953_160124,LPS955_160124,LPS956_160124,LPS957_160124,LPS958_160124,LPS959_160124,LPS960_160124,LPS961_160124,LPS962_160124,LPS963_160124,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC3302_260124,VECPAC3353_260124,VECPAC3369_260124,VECPAC3673_250124,VECPAC3674_250124,VECPAC3675_250124,VECPAC3677_250124,VECPAC3678_250124,VECPAC3679_250124,VECPAC3680_250124,VECPAC3688_260124,VECPAC3697_260124,VECPAC_3352_290124,VECPAC_3355_290124,VECPAC_3664_290124,VECPAC_3665_290124,VECPAC_3689_290124,VECPAC3296_300124,VECPAC3303_300124,VECPAC3304_300124,VECPAC3306_300124,VECPAC3318_300124,VECPAC3328_300124,VECPAC3330_300124,VECPAC3334_300124,VECPAC3356_300124,VECPAC3370_300124,DSS73_REP_190124,DSS76_REP_190124,DSS77_REP_190124,DSST0.7_180124,DSS107_190124,DSS901_190124,DSS902_190124,DSST1.5_190124,DSST1.6_190124,DSST1.7_190124,DSST1.8_190124,DSS85_230124,DSS87_230124,DSS90_230124,DSS117_REP_310124,DSS122_230124,DSS906_230124,DSS907_230124,DSST3.6_230124,DSST3.7_230124,DSST3.8_230124,DSS91_REP_310124,DSS94_250124,DSS95_250124,DSS125_250124,DSS126_250124,DSS127_250124,DSS129_250124,DSS912_REP_250124,DSST5.5_REP_250124,DSST5.6_REP_250124,DSST5.8_250124
Butylmethylamine,73172.19328,108773.9197,64309.20174,67479.55273,53848.21811,40927.36593,106933.9552,47446.24425,20045.04486,99670.64213,80272.74667,62576.21365,31787.28518,24878.46867,25058.62528,104751.7213,48024.87704,61254.51701,35840.31709,32299.96779,38933.40385,42797.82441,39664.60078,51663.12861,39436.29884,0,124192.953,118099.1066,0,0,0,119901.4674,80111.46423,0,0,144702.8125,163375.6495,0,0,0,152497.8869,0,0,154719.935,152631.709,146510.5941,0,144254.5943,0,0,0,0,0,180844.1544,0,176815.2273,0,0,129632.6952,0,0,120798.4851,0,0,0,165816.82,193528.0148,0,225400.2864,136517.2369,0,0,0,0,174424.1401,0,0,0,0,184953.1204,124999.5631,153603.789,194781.3589,0,112459.0891,0,0,0,124315.7436,151009.4456,118306.8693,0,0,135521.2234,128649.9086,128056.7694,0,125504.0924,0,0,0,0,0,0,0,0,0,115456.139,0,92352.94745,124415.643,120917.5696,129551.3182,0,196638.6082,188402.9941,0
Butyrovanillone,0,395739.932,0,0,0,0,98010.77223,0,0,716119.5031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144687.0039,0,0,0,119416.6131,0,0,0,0,195738.4633,0,152614.9945,155546.3015,122334.043,0,0,0,141551.5518,0,0,194177.6999,214133.4876,159923.7558,147926.9306,0,222670.9305,193839.2447,116379.7678,0,168602.2583,0,199901.3425,158445.0443,0,255097.2412,0,140553.3901,0,166874.2725,178381.7836,163824.1106,0,0,165932.1914,143733.9527,0,183197.2571,0,0,171688.8642,209624.7418,138284.4798,0,175326.3811,0,123020.0998,216721.751,0,126178.2977,390702.3059,0,0,0,0,143384.2976,127816.9783,0,0,0,0,0,0,317475.6163,0,0,233368.6482,205426.1738,220364.1055,142618.2089,138749.3492,0,0,0,0,0,0,298091.9722,126195.553,124544.7006,196096.5785,170788.4813
Cadaverine,1687.970371,0,0,0,0,1477.711959,0,0,0,0,0,0,842.7519965,0,0,0,0,7203.45478,20636.14969,2033.637769,10236.96535,11039.03975,8254.123646,0,25746.62091,0.001814183,0,0.006367941,0,0.002224661,0.000521781,0,0,0,0,0,0,0,0,0,0,0,0,0.001046688,0.0014754,0.00123347,0,0,0,0,0,0,0.004458301,0,0,0,0,0,0,0.003527017,0,0,0,0,0,0.005105935,0,0.001496922,0,0.011399456,0,0.005100505,0.001617046,0,0.004429694,0,0,0,0.00321974,0,0,0,0.001549184,0,0,38195.45924,17708.16431,15404.21114,0,56374.16409,0,0,0,0,0,0,6950.176843,15728.44201,32968.49853,0,2822.036325,0,0,0,0,0,21968.69248,22089.58329,40976.36733,23521.16454,4062.217914,30093.75333,34776.10795,0,0,0,0
Campesterol,583411.5852,482968.0547,829844.2101,1141017.379,345920.5825,125006.2727,763878.853,787311.2899,498377.7744,562332.0806,641486.4085,477519.3091,763910.4761,614556.7785,837422.6503,945778.2853,800146.6886,887770.8875,915959.4434,561466.7397,834792.9579,650780.7088,704857.6594,517954.5802,972935.7992,542028.5553,696612.3663,464012.5796,563015.0922,858380.2212,332991.8177,724362.586,513088.9637,337087.7873,741241.0691,547047.9344,608332.9008,468877.5632,565277.4549,470467.4454,573134.254,867554.5291,603926.4899,828461.4293,934519.6371,965635.3599,1013291.834,682827.6822,717310.3341,827894.7494,653790.9463,674299.069,493040.4119,439607.3027,876072.2685,782280.5017,477385.4389,760093.9975,481635.3301,390152.4399,453531.1197,442123.0555,559090.1037,556183.0888,769428.8296,682786.8233,663104.4567,545866.1921,469308.1417,382790.3297,358066.3565,348820.4667,288472.7592,400014.2822,649886.7925,826312.8089,716998.1761,748364.008,768229.0689,1179918.132,685856.6139,483308.3241,970671.1054,442993.9989,778223.2913,713119.6046,1207611.466,1073513.877,777923.5878,1097198.676,870532.0901,626626.8113,695349.8573,779783.5998,1088562.768,1049764.051,638647.4136,864319.1385,898554.9016,689199.8058,505857.5391,730013.5934,967341.4462,489146.5722,854584.0569,608995.4439,799034.8737,674860.1667,600056.0356,873667.8106,811922.0963,831671.6588,1213177.402,536683.5969,361525.1418,544069.5058,620134.755
"Carbonic acid, eicosyl vinyl ester ",0,0,0,0,0,0,0,198620.6522,0,0,200281.1552,202335.3382,172491.5418,189480.4647,0,0,0,251989.8822,271145.0923,186313.9636,325878.1792,0,279728.4731,0,296902.7462,428.883264,11721.57564,70303.4716,9868.548366,676.5181611,9774.980984,56099.80585,11535.34462,9414.300327,8589.407516,2162.688366,1057.455757,42817.78802,88622.7222,108118.4075,112023.0177,167491.5868,1634.313325,169910.4856,138263.0377,175618.3198,182316.0995,170687.8299,27116.04884,119120.3163,93219.23923,14501.38082,1113.346218,149908.2415,171227.6896,164938.9581,128422.1083,181520.7536,155135.1643,11219.27369,134120.7356,6070.166695,17030.33099,158128.0886,147476.3883,289436.3451,292322.819,176225.0284,142255.3732,25669.98118,125745.429,113498.1174,93923.19409,181462.9502,19815.81981,60120.40005,185304.9787,26369.28448,20828.90889,273304.9494,272546.3482,127793.8784,93132.74613,17534.2317,24879.59247,783588.2033,481686.7037,291516.7356,87999.34613,34917.51283,93865.63756,53435.99554,14784.42628,402870.8701,136023.1975,183591.2762,362308.5406,330442.6274,258570.6988,50501.86705,352548.249,49380.98463,53569.68581,35740.38008,612654.311,363666.0087,10418.07934,12599.42244,575.5542669,62321.20536,49825.4567,13118.76362,54796.45401,48130.65068,45391.60053,41200.51385,139887.0892
"Carbonic diamide, N,N'-dibutyl-N'-methyl-",62206.30309,86835.75314,77417.93075,104852.4098,76846.96632,88483.90833,85844.13829,94878.90482,87122.43876,85008.1825,94829.64979,97540.77354,100063.8141,113118.7907,85616.79024,99656.12415,110792.3849,91885.64353,105179.7678,78949.06567,109904.2383,104788.7351,121901.0383,95959.74551,111921.9827,0,0,0,81425.46891,0,0,58052.7472,0,0,166043.6017,0,0,0,0,0,0,0,68681.92712,97218.54292,0,0,73047.63676,0,0,0,0,0,56636.93162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1515361.041,0,1554656.286,0,726962.7173,180026.8108,0,0,0,0,0,138793.0068,684999.2566,382533.714,756472.4362,0,0,0,0,0,0,1038550.951,310426.8221,0,693250.5901,0,1190214.79,0,0,0,0,0
Carfentrazone-ethyl,0,0.234947901,0,0,0,0,0,0.307886965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.653413058,0,0,0.000179448,0.007145872,0.006515383,0,0.004627503,0,0.005630479,0.016690494,0,0,0.007583368,0.007455939,0.003845665,0.008449907,0.005252231,0,0.007982636,0.003017956,0.008001136,0,0,0.002810292,0,0,0.010328922,0,0,0,0,0.007391315,0,0.007578457,0,0.008170904,0.018662027,0.011616496,0,0,0.010307711,0,0.006701906,0.008467807,0.007892033,0.009606591,0.007204976,0.012614718,0.002575777,0.011992122,0.010682144,0.006624865,0.007071897,0.01022122,0,0.009243644,0.010079243,0.004271365,0.020383508,0.012029086,0.214581896,0.161532723,0.169600548,0,0.114381223,0.039276691,0,0.067576944,0.060530754,0,0.062137846,0.336280371,0.268446394,0.217392219,0.168421976,0.231391566,0.114349084,0.084369385,0.026817207,0.033672515,0,0.184439552,0.259050248,0.131732338,0.350088117,0.679575289,0.19778604,0.493202947,0,0.015018589,0.044952131,0.037482566
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)-",42821.57094,144103.209,46008.90878,11796.72726,18840.6978,39841.03543,126038.3534,167725.4283,35209.37056,201272.0063,31807.16995,13299.02205,3863.414745,29773.69983,8384.054281,47212.4814,34975.8145,85601.20299,67445.16398,123348.1944,52664.39269,75372.8834,32551.01768,56256.00155,67202.87435,211726.4063,0,0,0,0,0,0,0,0,0,0,0,0,0,181218.404,0,0,0,0,0,0,0,0,0,0,0,523762.8655,0,0,0,0,0,162870.0671,297928.8577,0,0,0,0,0,1724646.792,0,423168.9413,537551.2258,0,0,187342.6775,0,0,0,0,0,0,0,395651.1611,0,0,0,0,930506.359,140218.2303,22595.31705,13022.00603,5219.961938,0,5523.740217,0,0,0,0,0,0,0,5348.24259,10814.31841,11080.63309,0,0,0,0,0,0,19702.61269,3323.814335,2829.365183,15640.05796,0,39010.56685,48258.31641,0,0,0,0
"Cetaben, N,O-bis(trimethylsilyl)-",301807.0519,0,390982.191,588995.4957,644649.9349,410825.2969,111647.2962,270966.7875,963476.4823,0,449697.6619,372760.1729,1216803.4,476524.344,894182.0619,1753489.657,1389335.978,0,0,262318.7151,0,0,1072058.893,249526.5774,971912.2198,0,251783.4971,0,0,0,0,0,550145.9402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263323.8046,0,0,167378.456,0,0,199902.7345,183835.1415,0,0,0,0,0,202355.4286,0,0,0,0,169582.1654,0,0,290740.4281,0,0,0,0,0,0,0,0,0,0,169474.0744,0,0,0,0,0,0,2643139.259,0,0,0,0,0,0,4692817.69,0,0,0,25131980.73,0,0,0,0,0,0,0,7421177.138,0,0,0,0,0,0,0,0,0
"Cholest-22-ene-21-ol, 3,5-dehydro-6-methoxy-, pivalate",15983464.16,11750338.74,27533811.11,30325369.96,0,25262906.85,6238241.972,8150945.45,28237348.28,6648124.314,17013534.45,21997924,38251896.4,16378179.85,14133857.48,24523581.24,12636423.21,16042208.47,23653062.59,28869651.59,12655378.89,0,28569243.42,6034638.761,28534748.57,0,0,0,0,0,29686.77107,0,0,0,37552.59765,33561.86569,0,0,37119.63723,0,7885.951711,0,49463.84357,44043.05214,0,0,0,0,42230.77804,0,0,0,0,0,39602.66934,0,36850.42951,0,23793.43637,0,0,0,0,0,0,0,26945.32909,0,42910.52841,21661.5951,0,0,0,0,84962.93185,174825.1009,120268.3828,0,59023.56191,0,61617.35913,29352.44627,152982.5468,0,49094.64582,0,0,16268136.32,45847451.36,0,0,0,0,44666958,0,0,0,0,36233947.95,500299292.2,52969677.36,47184033.76,0,0,0,406396968,0,61925162.51,0,103287733,0,0,0,0,0,0,316303080.1
"Cholest-5-ene, 3-(1-oxobuthoxy)-",0,0,0,0,0,0,0,0,0,338.055613,0,0,0,0,0,0,0,0,0,0,1854.286596,0,0,0,0,0,0,0,198.8956015,0,257.3741172,0,0,0,136.3149449,0,0,0,338.2230594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323.5401857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.8943766,0,427.7986468,0,400.9692658,0,0,0,444.5462363,0,442.0506426,0,0,0,0,0,0,0,0,197.4913367,370.136059,366.0094122,0,0,0,0,0,1059.199067,0,315.7153752
"Cholest-7-en-3-ol, (3beta,5alpha)-",2086.253692,2707.223186,7343.836411,17410.61804,1303.530913,3297.027918,2848.196134,4551.131826,3473.074366,3438.914831,5377.106704,2931.450825,4765.715681,5982.725028,6760.635822,4463.70708,6383.627544,2702.772311,4262.612018,4587.953558,4997.735509,3493.548453,7052.940169,4466.234322,3788.209838,5546.782952,4075.671333,3948.902944,8304.915098,5639.761499,2188.901839,0,4924.162851,1780.226699,10819.71617,4488.421312,6660.123629,1243.311693,4975.202076,274.0153468,2112.907981,10539.68459,8515.773486,0,4411.315345,13501.84285,13150.0814,25.66828111,9988.294344,1176.521751,13426.0912,3784.852491,4133.400322,1672.188312,3152.196868,2983.405532,5265.520255,7330.249008,2896.47908,4766.237861,5131.871966,101.3922489,8379.853832,3394.475584,0,5255.07158,10771.11077,5356.989286,5773.774222,0,4007.788032,0,0,4347.725455,8220.047433,14549.96541,748.0996492,10932.41703,18495.2758,16080.16824,7945.972774,11758.04342,6950.919298,3615.591113,9472.82547,0,4732.710281,0,882.7867796,12256.42632,2091.020936,3886.622212,3945.475334,3869.906046,2131.973853,2909.910394,0,3302.189985,0,1851.154003,2886.955611,843.5917045,3981.990701,5410.285415,3736.659161,3324.846481,0,3893.420794,0,2945.529046,7060.782281,3489.683797,0,2294.298417,843.7187888,994.2734503,2761.964817
"Cholesta-2,4-diene",899.8845831,0,1620.101041,2402.560249,981.1176181,1500.873051,1619.152794,0,1470.86799,1329.218104,2358.237054,1871.88143,1913.179057,0,2177.443982,1493.095531,2115.879041,1891.115139,2222.763132,1738.763603,1837.834761,1834.184578,2278.920911,1409.481568,89.36923691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9575.146315,0,0,0,0,0,45546.79084,0,0,0,0,0,0,0,60273.64757,0,0,26157.40475,0,0,0,0,0,0,0,8569.128944,0,133.9766084,21.69100555,127.4024689,754.4566964,101.9011869,2.981364618,0.622276192,0,2.238522563,208.6184757,0,0,2.42118629,0,288.1881023,0,1.810797835,0,0,0,3.075622715,0,3.950036562,1.523763987,3.403003245,0,0,0.754694664,0,0,5.764445565
"Cholesta-3,5-dien-7-one",3897.544397,655969.8538,110250.5934,2561.017069,76111.03606,15008.00404,54973.80562,419027.1057,13397.09967,427230.8245,400194.2278,4731.619935,5390.901668,11841.29102,10229.52692,13049.31206,1008132.337,16025.50216,36584.50956,34530.51744,12105.48651,27193.88574,26638.04486,25036.2637,109373.4338,0.000352709,0,0.000841884,0.000186662,0,0.000867164,0.002440885,0.000579125,0.000236956,0.001044539,0.000305661,0,0.000484261,0.002323185,3.95E-05,0.001959159,0.000222192,0.000451595,0.001341739,0,0.000822474,0.001364211,0.000126383,0,0.000261127,0.002842824,0.005633279,0,0.000982073,0.005493307,0,0,0.00128919,0.001347784,0,0.000192912,0.001962111,0.001184507,0,0,0.001250675,0.000568417,0.000860967,0,0.000449594,0.002935889,0.000509216,0.001282493,0.000414318,0.00114783,1.02E-06,3.80E-05,0.001077782,0,0.002742439,0.002226864,0.001418393,0,0.0010602,0.001860554,56974.46806,1338208.293,0,0,40596.4014,0,0,0,0,0,0,1246664.157,27509.60566,11064.11874,3731010.795,2888848.926,0,0,0,0,0,0,0,0,2717710.193,0,6513998.87,147098.7257,0,150326.4182,0,0
"Cholesta-3,5-diene ",294162.9964,403715.94,580270.0534,710438.4268,515905.8503,502386.8917,514870.8042,431256.7447,63880.53131,635443.3378,885967.8633,658754.8093,700270.4868,692008.3014,722474.0263,448947.3122,917958.5373,675221.4009,769995.5191,534852.2737,625547.7871,509637.9424,701476.8282,503681.8542,697377.0774,44860.92981,48022.61137,39494.73044,99693.56448,85288.29006,36687.65846,158505.1183,64133.20741,41773.76493,67932.82913,55566.29021,105882.9543,65673.36347,1099830.284,74113.67904,84363.47499,106040.3881,42804.17458,85811.16027,125892.1462,57180.52711,95054.39982,59390.26669,303260.9032,84071.02665,0,53049.56399,59343.7123,65284.17659,83779.96639,78403.26527,107107.47,0,1055184.566,854051.0173,28639.50093,110108.153,96912.5275,74343.80224,89183.18824,117692.0868,111929.3834,79280.68787,41586.60512,815476.5554,74882.20487,35797.37956,76085.51385,26316.19611,37643.18139,71336.92269,329292.9256,83061.04911,20519.4299,136942.6895,69521.13483,99828.90016,100502.2629,23311.06428,68098.70261,3435816.089,144672.732,1098467.824,91879.77718,6700501.82,160737.1027,5865528.403,6785594.16,13478.41475,0,31382.76313,282172.2873,969724.3397,495406.6443,2646496.719,238440.8065,2481626.309,279665.0796,0,1700851.617,3939917.858,120656.4899,4197334.221,1396597.228,3360447.209,615266.5632,0,431663.8498,1916.096461,1391999.214,20729.88838,546833.1248
"Cholesterol, pentafluoropropionate",0,0,849.6046044,0,0,0,235.8171497,1592.722544,0,0,897.4800427,0,0,0,0,0,1113.114224,0,0,0,0,112.6919013,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26699416,12.20625828,0,0,0,0,0,0,0,0,0,0,0,15.92611715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.777664541,0,0,0,18.30726585,0,38.16250959,0,0,38.12039395,0,13.56311045,0,34.85780796,0,12.24854324,16.98161647,0,50.66448311,0,157.9455291,234.9080593,0,26.78525305,5641.65922,191.9842714,154.5405859,0,0,0,0,3190.471046,0,0,6381.750224,0.988017829,0,0,3105.247288,0,291.0814986,0,622.369285,0,0,0,0,0,0,0,4609.624208
Cholesterol,260082.6493,638930.9986,194472.2481,971113.0755,93332.73676,183890.1317,344439.6145,206967.7451,98200.35072,476386.4657,425793.039,292681.5203,212618.986,163144.4033,184939.1022,458257.6969,277475.1751,264062.592,515159.1391,331805.3915,749673.7904,1188078.917,249594.1377,176522.7781,257676.5921,476234.1464,147281.7289,381443.8926,500021.7017,203216.9277,2356.00201,182549.8023,431423.5689,283956.6158,225070.4042,404073.8466,431110.0055,267297.8537,408309.553,348759.8622,399672.4312,103191.4252,407742.058,358401.3282,183398.1656,192993.9545,139474.2634,448583.0771,61865.05258,197565.9435,1832.971125,372681.2706,534035.2221,576369.2276,191760.5301,390006.2771,319929.7023,87482.69164,483915.5719,504588.9658,678833.5358,305182.8814,384425.7695,475943.8397,83444.7284,408648.9018,649938.2988,606014.5423,494253.5474,279833.5471,332826.4443,588296.2333,337123.8962,575936.9688,247862.0488,410.4652723,281464.5,1153492.723,563709.2449,752798.7532,956360.8766,506490.7852,196029.9536,513039.8025,134776.4977,766780.3731,595609.803,899754.6213,1573297.07,987405.6776,700151.8956,954876.6764,897101.2294,491329.432,1189877.949,402465.8558,1328719.576,454916.3493,798438.0092,1180039.762,1875277.06,1894484.123,578147.0886,459568.9071,375231.3672,402432.4631,474360.9852,1007713.155,1196259.921,81070.78152,834523.1251,529392.2021,200123.0572,254796.6453,1139961.408,2160805.924,1327435.094
Cinnamic acid,3813.95645,4078.569549,12636.70798,1656.60848,16619.87894,8943.976864,0,0,5579.087391,0,13621.00109,10222.92168,0,5363.756484,1289.629711,9426.298138,0,6545.302005,11810.3815,1799.287606,12380.22218,9265.323019,0,0,10076.2835,30709.98811,0,0,6534.10699,6380.453843,7590.459427,0,0,16845.7555,14681.30409,0,7544.707259,7905.376877,7875.411356,18054.27754,27689.98678,37296.75648,0,16034.50308,8082.912487,0,0,0,16336.72644,0,9527.369013,16271.93753,8406.467984,22987.15283,0,14545.87767,0,30134.79194,0,4043.786775,7405.479069,0,4861.113416,0,0,0,4823.237234,0,7485.739077,0,10685.05125,14526.61294,6961.876246,22798.98562,7540.745465,6608.675601,16828.53131,0,6713.027301,0,0,5983.21734,13233.59966,0,0,0,15093.93881,16341.01435,0,4993.281725,0,0,0,0,0,0,10020.19214,10448.72641,8859.182925,5489.495574,9587.329222,0,0,0,0,0,9814.186431,8192.229119,29390.53623,11088.75515,0,5481.309639,10316.03495,0,0,0,0
cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate,0,1630.401135,384.4410358,0,215.8954343,0,0,1008.244577,0,1704.320559,1385.789648,0,0,0,0,0,3114.235617,0,0,0,0,0,0,0,128.5599614,561.9809087,926.8662606,1138.149566,1017.329426,714.4189077,1455.668221,725.3796725,917.7019284,1037.937606,0,892.9202578,1112.887551,824.2312894,807.676189,587.7819783,7263.127071,1055.500022,614.3113432,844.4761274,801.3044241,841.9959923,682.1509239,0,701.725241,591.4063134,742.3701355,0,0,574.3906538,0,708.3743273,679.1376068,0,0,579.9398688,0,1029.317421,0,1390.686409,892.1315068,692.6095877,1010.507634,760.4643013,0,699.2826492,744.2292018,936.3961306,725.6821408,0,0,625.6595254,592.2415956,0,526.399482,0,731.2267064,608.8647383,780.2752754,0,0,0,0,146.585878,0,0,248.230209,305.9427683,322.0517398,282.6426136,276.9515515,289.7271321,252.9353329,0,0,0,0,297.221674,277.3866498,208.2155949,250.256905,273.1964738,0,0,0,0,0,0,0,257.656908,0,0,290.2062051
"cis-4,5-Dihydroxy-o-dithiane, 2O-",243711.3046,267647.6357,304962.9484,361458.41,200132.0911,300536.0326,297347.1925,325949.4054,321774.8759,303834.3762,350313.8538,298448.9675,347929.837,299173.8589,315537.5378,362940.0527,300504.2581,307022.8407,392233.6079,251939.5207,372676.0998,333421.3299,320091.6419,293114.8345,346831.4892,232049.9197,226270.0396,238630.9608,219882.6657,280342.3783,222900.1008,264202.0845,250612.0645,208212.6314,260513.9417,241501.7899,250344.8115,239517.3719,257295.6788,236271.2257,260502.5536,242926.1738,221098.2237,272033.9227,482351.1436,463036.5203,477937.9968,451245.1915,440454.0679,475535.7394,467155.9303,100903.5301,108898.0807,332289.9128,113157.098,132293.2437,376231.0017,405115.7869,382821.2515,364066.1811,396739.3623,355588.6889,396386.0225,447633.6429,430080.6579,402265.2884,442993.1197,406684.4262,376406.9948,416474.9573,361977.8195,338564.3589,381948.8512,359902.0375,418487.6275,341994.3104,113195.61,116390.0975,367440.6703,130376.4865,341409.5461,350296.4761,130568.4988,299791.3784,365204.3492,305635.3684,359804.1759,322896.3211,304363.5474,338425.6298,321206.448,375631.7653,325721.4593,337676.8513,339306.4625,373767.481,233308.4116,283764.1171,309890.0585,281472.1467,328252.4481,290215.2783,416756.6551,338035.3196,346484.0215,314199.5417,336995.39,398505.1151,363202.7995,352774.0473,327099.5816,336589.8137,344307.707,319085.8909,277206.6225,351555.014,311997.6604
Citric acid,0,0,0,0,0,0,0,4122726.747,0,4287040.399,0,2215967.321,3422825.562,2702104.577,0,3481018.006,4002443.403,3066848.93,3384647.593,3140088.457,3688841.498,2596521.074,3433905.238,3627804.207,0,758931.2545,985771.5636,1090851.088,884688.7899,851433.432,838327.7944,699999.7223,821884.584,780697.1516,916276.7771,872424.9585,925211.4598,893302.7504,756283.9251,774818.51,814782.4988,1339320.117,609564.4432,840418.9082,726769.3893,680286.044,625727.0031,600134.9079,700068.6547,665490.4607,668906.4147,1216904.564,1594912.774,583772.9351,871447.868,1390794.805,1183334.766,714234.5535,1169427.21,1163037.451,989830.0022,1302085.202,0,1407658.986,1319514.001,1223416.391,29745.47884,685184.2886,1245467.631,894898.0485,276187.42,452806.6861,370301.6223,628135.1728,1183057.072,1515503.608,1486463.779,764316.2206,475154.9277,1379185.142,307762.8964,390326.8421,1455414.808,242229.7871,1277056.076,7449950.296,8104917.594,6505498.328,4400617.832,0,5406449.863,5014499.132,0,5789407.797,0,4552529.196,9128702.13,5825148.259,9060242.997,2715135.463,0,5495990.587,3479156.51,5080054.558,5849297.115,0,0,0,9861135.059,0,0,9003089.973,8322833.279,3463441.77,2611279.734,3489677.5,3208439.788
Cyclo-(l-leucyl-l-phenylalanyl) ,0,270.6115057,0,14180.15345,0,0,0,1119.993903,0,0,0,292.6996478,0,552.0595595,0,7718.085803,0,1233.301868,17227.13628,0,23707.20333,34077.09531,4056.741779,986.5290457,8145.320993,6814.88335,10026.96018,7444.529869,8976.74381,0,0,6303.448267,0,4298.574731,17497.45956,11299.08634,15857.45752,10780.08977,7198.780364,0,8347.424247,3893.822488,3501.253621,10161.02814,0,0,0,0,0,0,0,5095.846866,0,0,0,2863.933373,4515.999395,0,5679.772782,0,0,9803.548254,8798.332234,6633.763334,6181.661006,0,5423.328939,0,3093.882335,0,0,5394.654839,12787.51694,0,13070.45497,0,4404.469482,4470.426325,0,0,4713.930695,4513.81179,0,7182.506373,6483.611398,44711.09265,17271.61827,0,0,15314.45409,0,0,0,0,0,0,0,0,17299.22078,0,0,0,0,0,0,0,6278.550123,0,7128.103771,18717.79747,0,15063.91196,16419.64151,0,0,0,0
Cyclo(L-prolyl-L-valine) ,475676.4746,441261.5779,0,2369519.373,0,0,86860.59425,254208.1557,165420.5107,797290.7677,249226.9189,416492.0007,318941.3919,271914.2921,0,728062.6116,566131.6735,600000.1296,2759067.547,129869.3968,2973923.816,3178068.03,1334331.651,97551.21288,1246490.931,0,0,0,238564.5925,0,0,0,89616.82507,80343.54163,0,114108.5591,0,0,0,89695.81519,87229.02054,0,96881.51342,120381.2407,0,168.5026479,94169.68795,84942.69651,92204.07094,0,65066.64113,71867.00784,25.0134327,0,40002.65134,85603.52217,0,0,0,80711.66877,59707.09991,0,0,0,82040.52483,106583.3657,0,0,0,0,97282.1155,34509.71352,0,64428.3874,0,58890.95147,172.0897053,69953.71395,40565.13383,22.09499776,0,68951.0353,137470.6783,0,24848.83531,10601454.83,5996758.124,5324266.841,0,4779667.693,0,0,0,0,0,0,321865.512,4672442.772,7185577.256,3682865.721,0,0,0,0,0,0,5282987.265,5222134.266,8128777.062,8220929.858,0,2276657.891,9805825.379,0,0,0,0
cyclobutanecarboxylic acid,277983.8969,1773595.926,870082.1433,294896.5425,419164.1781,369630.4346,245500.1322,2558015.135,318336.829,2431651.719,2266720.944,272509.0729,280373.8981,333474.38,319371.8946,459042.5201,3814488.309,412712.1893,473849.3071,406246.4938,439353.2742,477116.1983,448436.0477,385454.0213,782073.5752,269709.8625,309349.739,0,316477.1338,305474.435,291380.9662,387673.3842,339046.1015,0,346632.7913,399920.4954,471799.7217,382465.4536,382094.022,816466.932,419592.3315,0,0,446651.6642,0,0,0,0,355304.9699,310337.6289,337045.3249,0,0,0,302566.9437,0,192191.4303,0,0,0,0,0,296813.5034,317091.4939,494863.3893,328179.6604,346609.4829,331424.9853,0,0,0,0,303893.9977,0,0,0,0,0,0,471359.1367,0,0,0,0,269363.8457,2791724.579,11748630.14,972597.3345,900265.3948,1299201.677,1005386.768,951019.6998,1316298.649,1604885.373,0,1938389.808,7375206.114,1083250.704,1209124.932,11470116.06,8885708.135,0,1163717.742,1197980.394,1117460.592,0,315908.9492,1137469.406,0,9643334.572,0,15890492.83,2909182.149,0,0,0,827049.5363
